Year,Age,Female,Male,Total
2014,0,540,662,1202
2014,1,39,55,94
2014,2,31,38,69
2014,3,18,26,44
2014,4,24,21,45
2014,5,21,25,46
2014,6,10,28,38
2014,7,20,27,47
2014,8,16,17,33
2014,9,11,10,21
2014,10,14,15,29
2014,11,18,15,33
2014,12,19,17,36
2014,13,19,26,45
2014,14,24,37,61
2014,15,14,37,51
2014,16,26,29,55
2014,17,20,39,59
2014,18,26,56,82
2014,19,33,63,96
2014,20,34,86,120
2014,21,39,86,125
2014,22,36,94,130
2014,23,44,84,128
2014,24,30,95,125
2014,25,39,88,127
2014,26,39,95,134
2014,27,45,105,150
2014,28,48,109,157
2014,29,51,114,165
2014,30,64,145,209
2014,31,75,168,243
2014,32,77,168,245
2014,33,102,200,302
2014,34,106,210,316
2014,35,112,219,331
2014,36,130,223,353
2014,37,155,254,409
2014,38,187,285,472
2014,39,183,322,505
2014,40,218,393,611
2014,41,231,443,674
2014,42,271,456,727
2014,43,291,548,839
2014,44,347,587,934
2014,45,415,679,1094
2014,46,388,780,1168
2014,47,440,851,1291
2014,48,472,983,1455
2014,49,530,1101,1631
2014,50,564,1147,1711
2014,51,592,1254,1846
2014,52,626,1360,1986
2014,53,683,1395,2078
2014,54,769,1538,2307
2014,55,795,1725,2520
2014,56,849,1756,2605
2014,57,849,1784,2633
2014,58,893,1875,2768
2014,59,904,2025,2929
2014,60,943,2134,3077
2014,61,1042,2314,3356
2014,62,1048,2406,3454
2014,63,1042,2467,3509
2014,64,1118,2603,3721
2014,65,1278,3003,4281
2014,66,1387,3266,4653
2014,67,1359,3042,4401
2014,68,1567,3438,5005
2014,69,1715,3513,5228
2014,70,1911,3856,5767
2014,71,1914,3796,5710
2014,72,1776,3463,5239
2014,73,2163,4116,6279
2014,74,2383,4264,6647
2014,75,2366,3862,6228
2014,76,2935,4610,7545
2014,77,3628,5796,9424
2014,78,4323,6047,10370
2014,79,4771,6559,11330
2014,80,5703,6930,12633
2014,81,6320,7337,13657
2014,82,6901,7577,14478
2014,83,7672,7704,15376
2014,84,8267,7661,15928
2014,85,8783,7692,16475
2014,86,8963,7387,16350
2014,87,9512,7040,16552
2014,88,9493,6666,16159
2014,89,9663,6007,15670
2014,90,9499,5588,15087
2014,91,9012,4921,13933
2014,92,7972,4255,12227
2014,93,6908,3292,10200
2014,94,5849,2447,8296
2014,95,4461,1684,6145
2014,96,3821,1281,5102
2014,97,3001,966,3967
2014,98,2275,726,3001
2014,99,1773,486,2259
2014,100,1242,335,1577
2014,101,829,203,1032
2014,102,570,127,697
2014,103,348,82,430
2014,104,200,43,243
2014,105,110,28,138
2014,106,64,11,75
2014,107,35,6,41
2014,108,19,2,21
2014,109,7,2,9
2014,110+,13,0,13
